plant,insect_name,damage,min_temp,max_temp,avg_temp,humidity,rain
Banana,Panama Wilt (Fusarium),Leaf/frond damage,25,34,29.5,85-79,Low
Cotton,Whitefly,Shoot tunneling,21,38,29.5,62-74,Moderate
Potato,Wireworm,Shoot tunneling,26,34,30.0,88-95,High
Maize,Fall Armyworm,Bud/leaf damage,20,35,27.5,85-95,Low
Soybean,Soybean Aphid,Root/stem rot,20,36,28.0,50-88,High
Potato,Wireworm,Fruit infestation,24,35,29.5,70-72,Moderate
Maize,Stem Borer,Stalk tunneling,20,34,27.0,68-88,Moderate
Sugarcane,Top Borer,Sap sucking/viruses,24,37,30.5,50-80,Moderate
Maize,Corn Earworm,Nut damage/yield loss,25,38,31.5,74-86,Low
Sugarcane,White Grub,Sap sucking/hopper burn,23,37,30.0,87-83,Moderate
Rice,Yellow Stem Borer,Sap sucking/viruses,24,37,30.5,81-94,High
Banana,Weevil Borer,Leaf/frond damage,25,40,32.5,86-84,Moderate
Tomato,Tomato Hornworm,Nut damage/yield loss,21,36,28.5,56-70,Moderate
Rice,Gall Midge,Leaf defoliation,24,39,31.5,61-85,Low
Wheat,Aphids,Leaf webbing,21,35,28.0,80-82,High
Cotton,Cotton Leafworm,Leaf/frond damage,24,36,30.0,77-85,High
Coconut,Red Palm Weevil,Sap sucking/viruses,25,40,32.5,84-85,High
Cotton,Pink Bollworm,Shoot tunneling,25,34,29.5,55-81,Low
Sugarcane,Early Shoot Borer,Bud/leaf damage,25,39,32.0,75-75,High
Sugarcane,Pyrilla,Leaf webbing,22,39,30.5,74-81,Moderate
Tomato,Tomato Hornworm,Trunk boring,22,36,29.0,52-70,Moderate
Maize,Corn Earworm,Leaf defoliation,24,39,31.5,71-76,High
Wheat,Stem Sawfly,Stalk tunneling,26,40,33.0,56-76,Moderate
Rice,Brown Plant Hopper,Top leaf damage,20,39,29.5,84-79,Low
Sugarcane,Top Borer,Leaf webbing,21,36,28.5,74-86,Low
Cotton,Aphids,Leaf webbing,25,38,31.5,58-83,Low
Maize,Corn Earworm,Leaf defoliation,23,34,28.5,65-91,Moderate
Sugarcane,White Grub,Stalk tunneling,25,37,31.0,69-75,Moderate
Banana,Fruit Fly (Bactrocera),Sap sucking/viruses,26,38,32.0,71-72,Moderate
Wheat,Stem Sawfly,Nut damage/yield loss,25,39,32.0,57-83,Low
Sugarcane,Early Shoot Borer,Leaf defoliation,26,35,30.5,56-82,Moderate
Sugarcane,Early Shoot Borer,Fruit infestation,24,35,29.5,65-70,Low
Maize,Stem Borer,Root feeding,21,39,30.0,83-87,Low
Wheat,Armyworm,Trunk boring,23,40,31.5,76-82,High
Rice,Yellow Stem Borer,Root/stem rot,20,35,27.5,68-70,High
Maize,Stem Borer,Trunk boring,21,39,30.0,72-91,Low
Maize,Fall Armyworm,Top leaf damage,24,40,32.0,60-81,High
Rice,Gall Midge,Stalk tunneling,21,37,29.0,88-76,High
Wheat,Stem Sawfly,Sap sucking/hopper burn,20,36,28.0,59-95,Low
Soybean,Bean Leaf Beetle,Leaf defoliation,23,38,30.5,90-71,Low
Rice,Yellow Stem Borer,Stalk tunneling,24,39,31.5,85-87,Moderate
Wheat,Stem Sawfly,Trunk boring,23,36,29.5,62-88,Moderate
Coconut,Leaf Eating Caterpillar,Fruit infestation,23,34,28.5,80-78,Low
Cotton,Whitefly,Bud/leaf damage,22,38,30.0,70-88,High
Tomato,Leaf Miner,Trunk boring,24,38,31.0,80-75,Moderate
Cotton,Pink Bollworm,Stalk tunneling,26,39,32.5,66-90,Moderate
Cotton,Cotton Leafworm,Leaf/frond damage,21,39,30.0,65-83,Low
Cotton,Aphids,Top leaf damage,20,40,30.0,74-84,Low
Banana,Fruit Fly (Bactrocera),Nut damage/yield loss,24,35,29.5,62-90,Low
Coconut,Red Palm Weevil,Bud/leaf damage,21,38,29.5,71-76,Low
Potato,Leafhopper,Top leaf damage,25,36,30.5,78-80,Moderate
Maize,Rootworm,Leaf webbing,25,39,32.0,63-85,High
Maize,Corn Earworm,Leaf defoliation,25,38,31.5,79-81,High
Rice,Brown Plant Hopper,Shoot tunneling,25,37,31.0,68-82,Moderate
Wheat,Armyworm,Trunk boring,22,40,31.0,82-91,Low
Potato,Wireworm,Fruit infestation,21,34,27.5,75-93,Moderate
Maize,Fall Armyworm,Trunk boring,20,38,29.0,85-90,Low
Potato,Leafhopper,Nut damage/yield loss,22,37,29.5,80-93,High
Potato,Leafhopper,Leaf webbing,23,40,31.5,71-85,Low
Potato,Wireworm,Leaf/frond damage,23,38,30.5,57-78,Moderate
Soybean,Corn Earworm,Leaf defoliation,21,39,30.0,55-71,Low
Soybean,Corn Earworm,Nut damage/yield loss,26,39,32.5,56-77,High
Banana,Panama Wilt (Fusarium),Nut damage/yield loss,24,35,29.5,61-74,Moderate
Banana,Aphids,Root/stem rot,26,40,33.0,68-70,Low
Rice,Gall Midge,Nut damage/yield loss,22,38,30.0,80-77,High
Tomato,Leaf Miner,Fruit infestation,24,40,32.0,86-75,Moderate
Coconut,Leaf Eating Caterpillar,Leaf/frond damage,24,37,30.5,63-75,Moderate
Sugarcane,Pyrilla,Leaf defoliation,26,35,30.5,51-73,High
Potato,Cutworm,Sap sucking/hopper burn,24,35,29.5,55-84,High
Tomato,Leaf Miner,Leaf defoliation,20,36,28.0,85-85,Moderate
Sugarcane,Early Shoot Borer,Sap sucking/viruses,24,35,29.5,87-94,Low
Sugarcane,White Grub,Root/stem rot,20,34,27.0,72-73,Moderate
Coconut,Rhinoceros Beetle,Trunk boring,26,40,33.0,50-71,Low
Cotton,Aphids,Leaf webbing,23,36,29.5,61-78,High
Coconut,Rhinoceros Beetle,Shoot tunneling,20,35,27.5,59-93,Low
Coconut,Leaf Eating Caterpillar,Trunk boring,25,40,32.5,62-75,Moderate
Coconut,Rhinoceros Beetle,Fruit infestation,21,40,30.5,80-83,High
Sugarcane,White Grub,Nut damage/yield loss,24,38,31.0,62-93,Low
Banana,Weevil Borer,Leaf defoliation,20,38,29.0,50-95,Low
Cotton,Pink Bollworm,Root/stem rot,20,34,27.0,54-73,Moderate
Cotton,Aphids,Leaf defoliation,24,37,30.5,72-78,Low
Sugarcane,Top Borer,Fruit infestation,22,40,31.0,53-90,Moderate
Cotton,Whitefly,Root/stem rot,23,40,31.5,52-70,Moderate
Potato,Cutworm,Nut damage/yield loss,22,39,30.5,84-92,Moderate
Maize,Stem Borer,Sap sucking/hopper burn,26,39,32.5,82-78,Low
Cotton,Pink Bollworm,Root feeding,22,38,30.0,87-71,High
Potato,Leafhopper,Top leaf damage,26,38,32.0,64-70,High
Potato,Wireworm,Fruit infestation,26,40,33.0,74-94,Moderate
Coconut,Leaf Eating Caterpillar,Trunk boring,25,39,32.0,78-84,Low
Potato,Cutworm,Nut damage/yield loss,26,38,32.0,58-80,High
Wheat,Aphids,Nut damage/yield loss,26,35,30.5,58-81,Moderate
Rice,Leaf Folder,Trunk boring,20,35,27.5,67-70,Low
Cotton,Pink Bollworm,Leaf webbing,24,35,29.5,86-74,Low
Maize,Fall Armyworm,Root/stem rot,25,37,31.0,88-93,Moderate
Sugarcane,Top Borer,Bud/leaf damage,21,34,27.5,59-72,Moderate
Maize,Corn Earworm,Sap sucking/hopper burn,21,34,27.5,54-75,Low
Wheat,Aphids,Nut damage/yield loss,21,40,30.5,64-79,High
Wheat,Aphids,Root/stem rot,23,39,31.0,53-81,Moderate
Rice,Yellow Stem Borer,Nut damage/yield loss,24,37,30.5,75-80,Moderate
Potato,Wireworm,Leaf webbing,21,40,30.5,53-88,Low
Coconut,Red Palm Weevil,Leaf/frond damage,22,38,30.0,82-90,Low
Wheat,Stem Sawfly,Bud/leaf damage,21,38,29.5,53-73,Moderate
Coconut,Coconut Eriophyid Mite,Sap sucking/hopper burn,26,37,31.5,56-78,Low
Cotton,Whitefly,Leaf defoliation,24,36,30.0,89-81,High
Coconut,Rhinoceros Beetle,Leaf/frond damage,25,38,31.5,81-78,Moderate
Coconut,Red Palm Weevil,Fruit infestation,26,37,31.5,51-93,Low
Cotton,Whitefly,Fruit infestation,26,39,32.5,51-75,High
Banana,Fruit Fly (Bactrocera),Trunk boring,24,34,29.0,77-70,High
Wheat,Aphids,Shoot tunneling,22,39,30.5,75-92,High
Cotton,Aphids,Leaf/frond damage,21,40,30.5,81-78,Moderate
Wheat,Aphids,Nut damage/yield loss,25,35,30.0,52-84,High
Rice,Yellow Stem Borer,Nut damage/yield loss,23,39,31.0,69-82,Low
Rice,Yellow Stem Borer,Fruit infestation,24,37,30.5,65-70,High
Potato,Wireworm,Leaf defoliation,26,40,33.0,90-88,Low
Soybean,Bean Leaf Beetle,Bud/leaf damage,26,34,30.0,80-82,Moderate
Wheat,Aphids,Leaf/frond damage,25,37,31.0,59-70,Low
Coconut,Rhinoceros Beetle,Bud/leaf damage,20,36,28.0,77-93,Moderate
Cotton,Whitefly,Fruit infestation,21,36,28.5,52-83,Low
Potato,Potato Beetle,Top leaf damage,23,35,29.0,76-87,Moderate
Tomato,Whitefly,Root/stem rot,24,34,29.0,67-93,High
Potato,Leafhopper,Nut damage/yield loss,20,35,27.5,57-85,High
